                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.4419,                0.93602,                 1.2838,                0.41718,                0.38596,                0.35636,                0.11868,                 2.5166,                 2.0664,                  1.996,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3084,                0.82642,                 1.2029,                0.54798,                0.32456,                0.35937,                0.12663,                 2.4691,                 2.0833,                 1.9603,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3418,                 0.8369,                 1.2098,                0.41357,                0.38596,                0.33981,                0.11192,                  2.509,                 2.1129,                 1.9989,               0.000317,               0.000317,               0.000317
                     87,                 1.3129,                0.84044,                 1.1834,                0.43457,                0.38596,                 0.3284,                0.11767,                 2.4802,                 2.0637,                 1.9581,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3879,                 1.2646,                 1.3476,                0.43076,                0.37719,                0.32638,                0.10891,                  2.508,                 1.9955,                 1.9992,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3534,                0.91569,                 1.2034,                0.45798,                0.35965,                0.32773,                0.10129,                 2.5975,                 2.0548,                  2.063,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.3017,                0.83394,                  1.195,                0.46463,                0.38596,                0.34463,                0.10935,                 2.5457,                 1.9512,                 2.0184,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2548,                0.79033,                 1.1845,                0.52663,                0.42105,                0.36138,                0.13127,                 2.4712,                 1.8555,                 1.9482,               0.000218,               0.000218,               0.000218
                     92,                   1.23,                0.83384,                 1.1609,                0.49274,                0.37493,                0.35319,                0.12111,                 2.5176,                 1.8873,                 1.9884,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.3177,                0.73108,                 1.1876,                0.49063,                0.34211,                0.35637,                0.11578,                 2.5531,                 1.9628,                   2.01,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1905,                0.71861,                 1.1583,                0.47624,                0.35088,                0.35012,                0.12254,                 2.4884,                 1.9473,                 1.9477,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1945,                0.74884,                 1.1442,                0.38175,                0.42105,                 0.3536,                0.13092,                 2.4155,                 1.9254,                 1.8805,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.1924,                0.70088,                 1.1731,                0.47444,                0.35965,                0.34178,                0.12568,                 2.4528,                 1.9368,                 1.9066,               0.000119,               0.000119,               0.000119
                     97,                 1.1545,                0.69317,                 1.1503,                0.46155,                0.36842,                0.35779,                0.12733,                 2.4735,                 1.9802,                 1.9063,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.3599,                 1.0557,                 1.3234,                0.45058,                0.35965,                0.35565,                0.12342,                 2.4606,                  1.978,                 1.9047,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1381,                0.83382,                 1.1181,                0.42908,                0.38596,                0.35675,                0.12517,                 2.4545,                 1.9939,                 1.9016,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                  1.111,                0.65471,                 1.1196,                0.44954,                0.37719,                0.35461,                0.12564,                 2.4299,                 1.9962,                 1.8843,               3.98e-05,               3.98e-05,               3.98e-05
