                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.4279,                0.91332,                  1.246,                0.63076,                 0.2807,                0.32362,                0.12148,                 2.3927,                 2.1111,                 1.9321,              0.0015842,              0.0015842,              0.0015842
                    107,                 1.4595,                0.95398,                 1.2697,                0.54297,                0.26316,                0.26955,                0.09717,                 2.4845,                 2.2344,                 2.0184,              0.0015802,              0.0015802,              0.0015802
                    108,                 1.4607,                 1.0631,                 1.2937,                0.50201,                0.33333,                0.29218,                0.11736,                 2.4195,                 2.2404,                 1.9239,              0.0015763,              0.0015763,              0.0015763
                    109,                 1.4758,                0.98067,                 1.2678,                0.40315,                0.22807,                0.20246,                0.07969,                 2.6244,                 2.4685,                 2.0659,              0.0015723,              0.0015723,              0.0015723
                    110,                 1.3813,                0.89617,                 1.2633,                0.39957,                0.23684,                0.24175,                0.08828,                 2.6078,                 2.2512,                 2.0405,              0.0015684,              0.0015684,              0.0015684
                    111,                 1.4503,                0.96344,                 1.2421,                0.29222,                0.38596,                0.24875,                0.08779,                 2.5352,                 2.3013,                  1.946,              0.0015644,              0.0015644,              0.0015644
                    112,                 1.5117,                  1.101,                 1.3629,                0.33652,                0.28947,                0.25526,                0.08541,                 2.6001,                 2.2554,                 2.0061,              0.0015604,              0.0015604,              0.0015604
                    113,                 1.3681,                0.90251,                 1.1897,                0.32798,                0.27193,                0.23601,                0.08856,                 2.5691,                 2.2985,                 1.9464,              0.0015565,              0.0015565,              0.0015565
                    114,                 1.4369,                 1.1939,                 1.2876,                0.32937,                0.23684,                0.17279,                 0.0599,                 2.8392,                 2.5491,                 2.3017,              0.0015525,              0.0015525,              0.0015525
                    115,                 1.4867,                0.92994,                 1.2885,                0.37705,                0.29825,                  0.238,                0.07931,                 2.6559,                  2.329,                 2.1353,              0.0015486,              0.0015486,              0.0015486
                    116,                 1.3662,                 0.8861,                 1.2186,                0.42566,                0.32456,                0.24791,                0.08594,                 2.5589,                 2.2752,                 1.9949,              0.0015446,              0.0015446,              0.0015446
                    117,                 1.4139,                0.94991,                 1.2564,                 0.4508,                0.30702,                 0.2533,                0.07786,                 2.5826,                 2.3216,                 1.9588,              0.0015406,              0.0015406,              0.0015406
                    118,                 1.3856,                0.85633,                 1.2366,                0.40011,                0.35103,                0.28485,                0.09585,                 2.4592,                 2.1941,                 1.8872,              0.0015367,              0.0015367,              0.0015367
                    119,                 1.4298,                0.89643,                  1.213,                0.45082,                0.35965,                0.31382,                0.11025,                 2.4905,                 2.2517,                 2.0141,              0.0015327,              0.0015327,              0.0015327
                    120,                 1.3909,                0.89104,                 1.2334,                0.47296,                0.31579,                0.29697,                0.10301,                 2.3973,                 2.3749,                 1.9122,              0.0015288,              0.0015288,              0.0015288
                    121,                 1.4458,                 1.1446,                 1.3004,                0.42557,                0.29825,                0.25022,                0.08274,                 2.4977,                 2.4509,                 1.8736,              0.0015248,              0.0015248,              0.0015248
                    122,                 1.3549,                0.90229,                 1.2387,                0.35211,                0.36842,                0.23906,                0.08169,                 2.5012,                 2.4139,                 1.8846,              0.0015208,              0.0015208,              0.0015208
                    123,                 1.3579,                0.88876,                  1.204,                0.40098,                0.42982,                 0.2838,                0.09714,                 2.5244,                 2.1585,                 1.9197,              0.0015169,              0.0015169,              0.0015169
                    124,                 1.4064,                0.86578,                 1.2254,                0.45946,                0.45483,                0.33981,                0.13338,                 2.4032,                 1.9804,                  1.824,              0.0015129,              0.0015129,              0.0015129
                    125,                 1.3858,                 0.9337,                 1.2299,                0.35683,                0.36842,                0.25373,                0.09195,                  2.601,                 2.1323,                 2.0303,               0.001509,               0.001509,               0.001509
                    126,                 1.4424,                0.87138,                 1.2219,                0.40355,                0.35965,                0.23916,                0.07569,                 2.5351,                 2.1722,                 2.0269,               0.001505,               0.001505,               0.001505
                    127,                 1.4017,                 0.8816,                 1.2067,                0.46533,                0.27193,                0.27219,                0.08812,                 2.4798,                 2.2004,                 1.9591,               0.001501,               0.001501,               0.001501
                    128,                  1.409,                0.91151,                 1.2133,                0.48737,                0.26316,                0.26971,                0.09783,                 2.5073,                  2.308,                  1.947,              0.0014971,              0.0014971,              0.0014971
                    129,                 1.3947,                0.99082,                 1.2705,                 0.3463,                0.34211,                0.28496,                0.09418,                 2.5168,                 2.2182,                  1.968,              0.0014931,              0.0014931,              0.0014931
                    130,                 1.3663,                0.95707,                 1.2483,                0.42346,                0.34211,                0.28292,                0.10377,                 2.4947,                 2.0764,                 2.0127,              0.0014892,              0.0014892,              0.0014892
                    131,                 1.3029,                0.86297,                 1.1811,                0.44177,                0.42105,                0.29652,                0.12004,                 2.4733,                 2.0128,                  2.036,              0.0014852,              0.0014852,              0.0014852
                    132,                 1.3409,                0.84381,                  1.225,                0.45487,                0.31579,                0.27329,                0.09639,                 2.6376,                 2.2205,                  2.102,              0.0014812,              0.0014812,              0.0014812
                    133,                 1.3567,                0.92447,                 1.2037,                0.30217,                0.38596,                0.20887,                0.07099,                 2.5986,                 2.3131,                 2.0288,              0.0014773,              0.0014773,              0.0014773
                    134,                 1.5774,                 1.0072,                 1.5126,                0.34123,                0.38596,                0.20254,                0.06182,                 2.5879,                 2.2993,                  1.983,              0.0014733,              0.0014733,              0.0014733
                    135,                 1.2955,                0.83154,                 1.1666,                0.39143,                0.35088,                0.23149,                0.07496,                 2.5462,                 2.1885,                 1.9833,              0.0014694,              0.0014694,              0.0014694
                    136,                 1.2964,                0.85387,                 1.1816,                0.53163,                0.35965,                0.33145,                0.10387,                  2.559,                 2.0932,                 1.9924,              0.0014654,              0.0014654,              0.0014654
                    137,                 1.3147,                0.84962,                 1.1953,                0.42645,                0.35965,                 0.3092,                0.11187,                 2.5414,                   2.06,                 1.9691,              0.0014614,              0.0014614,              0.0014614
                    138,                  1.388,                0.88454,                 1.2291,                0.44918,                0.32908,                0.28826,                0.10032,                 2.5501,                 2.1708,                 2.0286,              0.0014575,              0.0014575,              0.0014575
                    139,                 1.3391,                0.83356,                  1.197,                0.45252,                 0.2807,                0.27405,                0.08337,                 2.6294,                 2.2763,                 2.1094,              0.0014535,              0.0014535,              0.0014535
                    140,                 1.3222,                0.81557,                 1.2273,                0.39041,                0.32586,                0.27356,                0.08869,                  2.569,                 2.1963,                 2.0386,              0.0014496,              0.0014496,              0.0014496
